,Unnamed: 0,Customer Name,Order Count,Discounts,Sales,Profit,Cluster,ClusterName
0,0,Rick Hansen,31,48.38709677419355,16352.9586,1850.8903,3,Frugal Frequent Buyers
1,1,Justin Ritter,27,33.33333333333333,13623.249,1306.756,2,The Reliable Middle
2,2,Craig Reiter,35,60.0,20847.53976,1435.43736,3,Frugal Frequent Buyers
3,3,Katherine Murray,31,48.38709677419355,18519.15964,1451.08384,3,Frugal Frequent Buyers
4,4,Jim Mitchum,42,40.476190476190474,19897.39706,1798.53406,3,Frugal Frequent Buyers
5,5,Toby Swindell,34,35.294117647058826,18628.34548,2602.96458,0,High Profit Buyers
6,6,Mick Brown,36,44.44444444444444,16447.73888,2595.96358,3,Frugal Frequent Buyers
7,7,Jane Waco,38,44.73684210526316,30288.4503,6265.8457,0,High Profit Buyers
8,8,Joseph Holt,44,52.27272727272727,20936.8844,386.67819999999995,3,Frugal Frequent Buyers
9,9,Greg Maxwell,24,41.66666666666667,15356.444,-11.35850000000011,1,Bargain Hunters
10,10,Anthony Jacobs,37,37.83783783783784,17757.0612,1172.2402000000002,3,Frugal Frequent Buyers
11,11,Magdelene Morse,31,45.16129032258064,21224.07612,4380.72512,0,High Profit Buyers
12,12,Vicky Freymann,27,51.85185185185184,12602.485,26.112999999999953,1,Bargain Hunters
13,13,Peter Fuller,36,38.88888888888889,29875.99966,1063.29136,3,Frugal Frequent Buyers
14,14,Ben Peterman,37,59.45945945945946,16806.64772,1343.95582,3,Frugal Frequent Buyers
15,15,Thomas Boland,31,45.16129032258064,17423.9244,2286.4019,3,Frugal Frequent Buyers
16,16,Patrick Jones,22,45.45454545454545,14440.907,4019.1325,2,The Reliable Middle
17,17,Jim Sink,30,43.33333333333334,16282.5795,2350.4863,2,The Reliable Middle
18,18,Ritsa Hightower,27,55.55555555555556,17697.78,2002.8037,1,Bargain Hunters
19,19,Ann Blume,26,38.46153846153846,18727.2131,1870.0107,2,The Reliable Middle
20,20,Sue Ann Reed,40,47.5,16495.05466,1354.70276,3,Frugal Frequent Buyers
21,21,Jason Klamczynski,31,51.61290322580645,17204.23132,2022.38702,3,Frugal Frequent Buyers
22,22,Laurel Beltran,38,44.73684210526316,26385.98522,4303.23822,0,High Profit Buyers
23,23,Naresj Patel,31,38.70967741935484,13115.177,1804.326,2,The Reliable Middle
24,24,Valerie Dominguez,27,55.55555555555556,15984.9224,2031.9158,1,Bargain Hunters
25,25,Phillip Breyer,33,63.63636363636363,24269.859,1403.958,3,Frugal Frequent Buyers
26,26,Eugene Barchas,31,54.83870967741936,16083.2243,2893.6639,3,Frugal Frequent Buyers
27,27,Karen Ferguson,29,41.37931034482759,18265.0205,2385.1931,2,The Reliable Middle
28,28,Benjamin Patterson,30,33.33333333333333,18708.6016,912.2121,2,The Reliable Middle
29,29,Rick Reed,34,47.058823529411754,16386.1966,-47.982799999999976,3,Frugal Frequent Buyers
30,30,Bill Shonely,31,35.483870967741936,23508.65596,5968.90736,0,High Profit Buyers
31,31,Joel Eaton,40,42.5,21904.62896,1528.78066,3,Frugal Frequent Buyers
32,32,Dave Poirier,31,61.29032258064516,25900.7482,4600.1323,0,High Profit Buyers
33,33,Nora Preis,33,45.45454545454545,15917.0555,375.5512,3,Frugal Frequent Buyers
34,34,Aaron Hawkins,34,41.17647058823529,20759.51384,2450.92904,0,High Profit Buyers
35,35,Darrin Martin,36,52.777777777777786,17732.3218,1991.7519,3,Frugal Frequent Buyers
36,36,Grant Thornton,25,48.0,20225.35784,-3577.92306,1,Bargain Hunters
37,37,Patrick O'Donnell,41,39.02439024390244,24024.2098,4618.1191,0,High Profit Buyers
38,38,Dan Lawera,40,57.49999999999999,12688.6821,426.03500000000014,3,Frugal Frequent Buyers
